"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Uqcr111",2.72428258358468e-17,0.284413517934878,0.699,0.542,4.05918104954118e-13,"2","Uqcr11"
"Itfg1",3.45134708219268e-17,0.259114073256915,0.335,0.219,5.14250715246709e-13,"2","Itfg1"
"Atxn10",1.75508140852628e-16,0.265435832443624,0.506,0.395,2.61507129870416e-12,"2","Atxn10"
"BC031181",1.85156379859388e-16,0.257293904139021,0.558,0.454,2.75883005990488e-12,"2","BC031181"
"Psmd3",3.09742923514197e-16,0.252235540602852,0.43,0.318,4.61516956036153e-12,"2","Psmd3"
"Bad",4.92548731509918e-16,0.268229498171484,0.399,0.288,7.33897609949778e-12,"2","Bad"
"Decr1",7.77842870721096e-16,0.255917238075527,0.324,0.219,1.15898587737443e-11,"2","Decr1"
"Rsrp1",8.7090159754321e-16,0.258843290053711,0.662,0.567,1.29764338033938e-11,"2","Rsrp1"
"Atp6v0d1",9.17740659347745e-16,0.284900358596776,0.359,0.254,1.36743358242814e-11,"2","Atp6v0d1"
"Ppa2",1.04866489064975e-15,0.280835413673687,0.375,0.27,1.56251068706813e-11,"2","Ppa2"
"Blvrb",1.25985284028489e-15,0.265512264437664,0.418,0.304,1.87718073202449e-11,"2","Blvrb"
"Ebp",1.3682035849803e-15,0.255465671848691,0.419,0.314,2.03862334162065e-11,"2","Ebp"
"Scamp2",2.58772584369677e-15,0.263644587432011,0.259,0.162,3.85571150710819e-11,"2","Scamp2"
"Ppil2",4.11434742141604e-15,0.264491388013174,0.356,0.254,6.1303776579099e-11,"2","Ppil2"
"Mmp14",1.5655865141226e-14,0.299293585017722,0.293,0.196,2.33272390604268e-10,"2","Mmp14"
"Gm10076",3.65138503901998e-14,0.254980872009748,0.465,0.364,5.44056370813977e-10,"2","Gm10076"
"Svil",1.09984363571734e-13,0.260463495378009,0.254,0.159,1.63876701721884e-09,"2","Svil"
"Ubl5",1.15917782382565e-13,0.290816350231451,0.522,0.419,1.72717495750021e-09,"2","Ubl5"
"Limd2",1.40449051799635e-13,0.269844111490914,0.332,0.238,2.09269087181456e-09,"2","Limd2"
