"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRP14",1.77619619712298e-30,0.776771677510798,1,0.888,3.25754382552354e-26,"12","SRP14"
"CUX12",3.71553882302577e-30,0.54135380917173,0.606,0.121,6.81429820142926e-26,"12","CUX1"
"TATDN3",4.35507218933476e-30,0.384158698359621,0.379,0.052,7.98720239523994e-26,"12","TATDN3"
"CCDC186",5.04516923876286e-30,0.689725251063708,0.606,0.128,9.25284038389108e-26,"12","CCDC186"
"ST3GAL2",9.84921020878907e-30,0.456772280968442,0.455,0.073,1.80634515229191e-25,"12","ST3GAL2"
"CDK2AP21",1.31549676757796e-29,0.900579241559561,0.803,0.244,2.41262107173798e-25,"12","CDK2AP2"
"STRBP2",1.73107860522067e-29,0.429335454786586,0.47,0.076,3.17479816197471e-25,"12","STRBP"
"CORO1C1",1.80959720366304e-29,0.543647583931749,0.5,0.09,3.31880127151802e-25,"12","CORO1C"
"SIDT1",1.89995484421242e-29,0.414895236186242,0.364,0.049,3.48451718428557e-25,"12","SIDT1"
"YPEL1",2.54129483332832e-29,0.44923194411663,0.318,0.039,4.66073472432413e-25,"12","YPEL1"
"SPINT23",4.18282381185026e-29,0.762894674223955,0.864,0.264,7.67129887093337e-25,"12","SPINT2"
"NUCB25",4.56157222569435e-29,0.813963304090636,0.818,0.241,8.36592346192343e-25,"12","NUCB2"
"NUDT1",5.01431930336533e-29,0.510477492731672,0.682,0.149,9.19626160237201e-25,"12","NUDT1"
"JAML8",6.30198229659692e-29,0.877661985494239,0.894,0.332,1.15578355319588e-24,"12","JAML"
"ZDHHC4",7.28835475200174e-29,0.524660668145744,0.53,0.1,1.33668426151712e-24,"12","ZDHHC4"
"CDYL",1.20288414894588e-28,0.33926779780946,0.303,0.036,2.20608952916674e-24,"12","CDYL"
"CXorf21",1.61123059294355e-28,0.548842283413679,0.439,0.072,2.95499690745847e-24,"12","CXorf21"
"MS4A6A10",1.80395884951205e-28,0.978761837002654,0.818,0.238,3.30846053000511e-24,"12","MS4A6A"
"RP11-356I2.4",2.34722828767252e-28,0.384143657409935,0.348,0.047,4.3048166795914e-24,"12","RP11-356I2.4"
"MS4A4A1",3.3172313312001e-28,0.299154556554437,0.258,0.027,6.08380226142098e-24,"12","MS4A4A"
"SLC39A6",4.31517333064666e-28,0.455653150624424,0.439,0.073,7.91402788840598e-24,"12","SLC39A6"
"TMIGD2",5.35809158988863e-28,0.522348962766468,0.5,0.091,9.82673997585574e-24,"12","TMIGD2"
"UBL7",5.56978305101409e-28,0.520227239285318,0.636,0.138,1.02149821155598e-23,"12","UBL7"
"SPCS31",6.37841599233733e-28,0.712489984545275,0.818,0.237,1.16980149299467e-23,"12","SPCS3"
"TCL1A1",6.38023982627013e-28,1.45107427828799,0.606,0.146,1.17013598413794e-23,"12","TCL1A"
"CAT6",9.30407035309395e-28,0.720188163473166,0.879,0.277,1.70636650275743e-23,"12","CAT"
"CARD11",9.72097382512186e-28,0.3890127791055,0.409,0.063,1.78282659952735e-23,"12","CARD11"
"CCDC88A3",1.39201280954217e-27,0.490047499914082,0.53,0.103,2.55295149270033e-23,"12","CCDC88A"
"CD7410",1.54798041008916e-27,1.16940534658327,1,0.927,2.83899607210351e-23,"12","CD74"
"TMEM19",1.80350393605088e-27,0.484161905899061,0.47,0.083,3.30762621871731e-23,"12","TMEM19"
"MRPL36",1.80599984491837e-27,0.516941979179993,0.591,0.123,3.31220371558028e-23,"12","MRPL36"
"FUZ",3.42220773791877e-27,0.29968885858801,0.273,0.031,6.27632899134302e-23,"12","FUZ"
"TMED92",1.15007116332826e-26,0.839359699639043,0.879,0.317,2.10923051354402e-22,"12","TMED9"
"TAX1BP31",1.15598082116491e-26,0.539387629439944,0.5,0.097,2.12006882601644e-22,"12","TAX1BP3"
"SFT2D11",1.62003199373294e-26,0.715689986295553,0.848,0.273,2.97113867650621e-22,"12","SFT2D1"
"P4HB2",1.97916697423078e-26,0.870579731525123,0.939,0.418,3.62979223073925e-22,"12","P4HB"
"SCAMP4",2.47373006282912e-26,0.392694698478996,0.485,0.088,4.53682093522861e-22,"12","SCAMP4"
"GPR1839",4.19567954515654e-26,0.941530563027706,0.818,0.249,7.69487628581709e-22,"12","GPR183"
"CAPN15",1.01945312354157e-25,0.30203062831569,0.288,0.036,1.86967702857525e-21,"12","CAPN15"
"SMC61",1.17958513166587e-25,0.514515698489391,0.455,0.083,2.16335913147521e-21,"12","SMC6"
"C9orf1425",1.20909474542655e-25,0.891407804286171,0.909,0.348,2.2174797631123e-21,"12","C9orf142"
"SRD5A3",2.73827103614433e-25,0.345512600329541,0.333,0.048,5.02198908028871e-21,"12","SRD5A3"
"HLA-DMA9",2.99347242270161e-25,0.801415787659307,0.985,0.393,5.49002842323475e-21,"12","HLA-DMA"
"CHAF1A",4.70183209110632e-25,0.319403239764292,0.273,0.034,8.62316005508898e-21,"12","CHAF1A"
"RPN21",5.37910650566831e-25,0.805889777864571,0.879,0.324,9.86528133139567e-21,"12","RPN2"
"CREB3L2",6.59551701039586e-25,0.348503604554043,0.409,0.069,1.2096178197066e-20,"12","CREB3L2"
"CNPY37",7.4601423834762e-25,0.796005790943114,0.939,0.39,1.36819011312953e-20,"12","CNPY3"
"SRGAP2",9.27727544767193e-25,0.279111900639983,0.333,0.048,1.70145231710303e-20,"12","SRGAP2"
"RMDN3",9.46006749410082e-25,0.34095090334305,0.394,0.064,1.73497637841809e-20,"12","RMDN3"
"RNF13011",1.01407036385711e-24,0.609325963375709,0.848,0.248,1.85980504731394e-20,"12","RNF130"
"CKS1B1",1.38004422967615e-24,0.384988524242204,0.439,0.079,2.53100111722606e-20,"12","CKS1B"
"CLN8",1.62055667808982e-24,0.542709347870085,0.455,0.088,2.97210094761673e-20,"12","CLN8"
