"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lsm44",1.1696056117936e-23,0.640271356599661,0.82,0.378,1.6404888311017e-19,"8","Lsm4"
"Sox96",1.19455841269613e-23,0.609343284130345,0.811,0.326,1.67548762964759e-19,"8","Sox9"
"Samd5",1.22797569852003e-23,0.279785933251478,0.288,0.05,1.72235871474419e-19,"8","Samd5"
"B2m7",1.31958891745843e-23,0.689784885904728,0.973,0.829,1.8508554156272e-19,"8","B2m"
"Mad2l23",1.553220136233e-23,0.401488547784466,0.55,0.152,2.17854656308041e-19,"8","Mad2l2"
"Plac83",1.63035002302457e-23,0.541553374507044,0.505,0.14,2.28672894229426e-19,"8","Plac8"
"Nudt22",1.70663960304079e-23,0.360742457704051,0.532,0.145,2.39373270722501e-19,"8","Nudt2"
"Dctpp11",2.17324613713843e-23,0.470366318435092,0.577,0.173,3.04819503195036e-19,"8","Dctpp1"
"Atp5b3",2.58459768331735e-23,0.467060821221898,0.973,0.917,3.62515671062092e-19,"8","Atp5b"
"Dtymk1",2.76192634646285e-23,0.511377581009856,0.748,0.264,3.87387789354879e-19,"8","Dtymk"
"Mrpl401",3.47723024359677e-23,0.407688002547402,0.568,0.169,4.87716313966882e-19,"8","Mrpl40"
"Bspry",3.69385152438036e-23,0.264672731765787,0.333,0.066,5.1809961480959e-19,"8","Bspry"
"Lypd3",6.01305839750349e-23,0.402917978666023,0.514,0.139,8.4339157083384e-19,"8","Lypd3"
"Avpi12",7.25101085140986e-23,0.428794767052763,0.622,0.19,1.01702678201875e-18,"8","Avpi1"
"Nup43",7.87282822462925e-23,0.282764716203017,0.369,0.08,1.1042428867865e-18,"8","Nup43"
"Casp8",8.04159271251129e-23,0.328469915670954,0.477,0.123,1.12791379385683e-18,"8","Casp8"
"Krt78",8.65071273710097e-23,0.642084914719904,0.874,0.375,1.21334896850578e-18,"8","Krt7"
"Lsm21",8.88651193736217e-23,0.559065639131358,0.64,0.22,1.24642216433442e-18,"8","Lsm2"
"Isg15",1.08070232678591e-22,0.64714504948646,0.315,0.064,1.51579308354992e-18,"8","Isg15"
"Setd8",1.3246668036605e-22,0.301161179325047,0.423,0.102,1.85797765881422e-18,"8","Setd8"
"Dut4",1.38373384455798e-22,0.555373599042638,0.739,0.266,1.94082509037703e-18,"8","Dut"
"Pgk11",1.5236371834289e-22,0.488033335317388,0.712,0.251,2.13705351347737e-18,"8","Pgk1"
"Atp5g13",1.54760605592734e-22,0.643319787079992,0.946,0.612,2.17067225404369e-18,"8","Atp5g1"
"Gstt23",1.934049165298e-22,0.455632318507702,0.586,0.174,2.71269735924697e-18,"8","Gstt2"
"Gclm5",2.89587775207243e-22,0.623944040596911,0.856,0.384,4.0617581350568e-18,"8","Gclm"
