"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"PTGER2",6.86826962607599e-307,0.956345213398253,0.427,0.053,"0","PTGER2"
"SLC31A2",2.38810349399257e-306,0.775033055732285,0.571,0.142,"0","SLC31A2"
"SQSTM1",3.30705663354021e-303,0.850492414935978,0.697,0.234,"0","SQSTM1"
"SRGN",6.23770583779274e-303,0.541019748396711,0.991,0.749,"0","SRGN"
"BRI3",1.84992509262714e-296,0.900584140734729,0.48,0.083,"0","BRI3"
"IL8",2.63365068089829e-293,1.67057339082531,0.349,0.028,"0","IL8"
"VAMP5",5.099785394198e-289,0.841156570356845,0.71,0.251,"0","VAMP5"
"FPR3",7.24240332351329e-288,0.922296124183414,0.345,0.028,"0","FPR3"
"NCF2",4.24931841129363e-287,0.91275264323934,0.424,0.059,"0","NCF2"
"ACOT9",9.58283787168853e-286,0.877518458497468,0.53,0.117,"0","ACOT9"
"SQRDL",2.75439258936469e-285,0.757359447649458,0.685,0.233,"0","SQRDL"
"DUSP6",2.88558291356918e-284,0.940670007115562,0.365,0.036,"0","DUSP6"
"SAT2",2.37578704244583e-281,0.875654426429927,0.532,0.121,"0","SAT2"
"LHFPL2",3.86956854722123e-280,0.811410319198094,0.304,0.016,"0","LHFPL2"
"ATP6V1B2",2.33441159760585e-279,0.877151625989445,0.542,0.128,"0","ATP6V1B2"
"HLA-DPB1",8.86772917406739e-278,0.283125741695042,0.743,0.327,"0","HLA-DPB1"
"MXD1",2.04106404559981e-274,0.902189202731422,0.423,0.064,"0","MXD1"
"RP11-701P16.5",4.26182901534351e-271,1.08007026003981,0.334,0.029,"0","RP11-701P16.5"
"MOB1A",2.11726799679459e-270,0.708366803194147,0.736,0.294,"0","MOB1A"
"MARCKS",4.16694631433365e-269,0.895091021587251,0.394,0.055,"0","MARCKS"
"LAP3",7.89805339941038e-269,0.605270763911188,0.872,0.448,"0","LAP3"
"LST1",1.65058764052623e-268,0.594696179141382,0.523,0.148,"0","LST1"
"GLRX",1.61401472250294e-265,0.759390744328694,0.734,0.295,"0","GLRX"
"LACTB",1.46830591048692e-263,0.715895641904814,0.606,0.187,"0","LACTB"
"CTSC",3.90515628583882e-263,1.13933064433931,0.622,0.198,"0","CTSC"
"SERPINA1",3.05068941642967e-262,0.708276674142655,0.45,0.095,"0","SERPINA1"
"CD48",6.54220492232011e-262,0.683016068857844,0.875,0.484,"0","CD48"
"CASP4",9.93730949273468e-262,0.654139328622258,0.809,0.375,"0","CASP4"
"ATG3",2.72213378644008e-260,0.727670959366658,0.671,0.239,"0","ATG3"
"CTSZ",5.43465245050448e-260,0.872829136514955,0.431,0.074,"0","CTSZ"
"NCF1",5.94280559640773e-260,0.807457992297666,0.457,0.092,"0","NCF1"
"SGTB",2.05763685153097e-259,0.872326334372379,0.391,0.055,"0","SGTB"
"CCL4",1.56663689154438e-257,1.40174209416585,0.497,0.114,"0","CCL4"
"PLSCR1",2.36216197681658e-254,0.550369864504245,0.962,0.644,"0","PLSCR1"
"RTN4",1.73058108176943e-250,0.707547921521435,0.607,0.197,"0","RTN4"
"IFIT1",3.14712280011091e-250,0.562970876954662,0.984,0.863,"0","IFIT1"
"TPM4",3.61189981554679e-250,0.763223654612583,0.553,0.155,"0","TPM4"
"WTAP",8.31937281791073e-250,0.93694873587846,0.541,0.152,"0","WTAP"
"BID",1.35263129509853e-248,0.661281128079537,0.606,0.202,"0","BID"
"PTPRE",6.99144801842439e-248,0.836846512901313,0.387,0.058,"0","PTPRE"
"ANKRD22",5.06743884757684e-247,0.936629560955754,0.413,0.071,"0","ANKRD22"
"BST2",8.1868431079596e-247,0.527846248148315,0.967,0.653,"0","BST2"
"LYN",3.90059304968709e-246,0.809979434354493,0.53,0.14,"0","LYN"
"GRB2",4.74829507665528e-245,0.757924671331914,0.608,0.197,"0","GRB2"
"HES4",8.65595179384199e-241,0.881128777276314,0.53,0.143,"0","HES4"
"HSBP1",1.84138451736117e-240,0.621387418617093,0.62,0.218,"0","HSBP1"
"SCARB2",5.28163084279497e-240,0.812964505395274,0.501,0.124,"0","SCARB2"
"PRDX1",6.7642988325284e-237,0.663005746245274,0.725,0.309,"0","PRDX1"
"TFEC",2.11490358730861e-234,0.796640943680664,0.364,0.054,"0","TFEC"
"ANXA1",4.12352366179921e-233,0.462025721248233,0.977,0.677,"0","ANXA1"
"MARCKSL1",6.51683818375631e-231,0.564585580596646,0.506,0.149,"0","MARCKSL1"
"CYBB",8.21220691192524e-231,0.792580444765184,0.427,0.087,"0","CYBB"
"CD86",3.45867449190337e-230,0.582128973751582,0.473,0.133,"0","CD86"
"TNFAIP6",1.56315041934e-229,1.00815889884893,0.398,0.072,"0","TNFAIP6"
"HESX1",1.76403252078306e-229,0.802077999666182,0.389,0.067,"0","HESX1"
"MGST1",2.3461081470175e-228,0.756738203793676,0.272,0.019,"0","MGST1"
"IFIT3",4.24418799458789e-228,0.50214704297255,0.992,0.889,"0","IFIT3"
"ZEB2",1.79432131481913e-227,0.81248590719721,0.382,0.064,"0","ZEB2"
"CXCL16",1.18687037775234e-226,0.337848869946902,0.415,0.132,"0","CXCL16"
"SERPING1",1.14017591829958e-225,0.788362560105176,0.42,0.086,"0","SERPING1"
"ATOX1",5.22474597834546e-225,0.827938395902597,0.473,0.116,"0","ATOX1"
"APOBEC3B",1.98412338417994e-223,2.67165018497895,0.318,0.061,"0","APOBEC3B"
"ARPC5",4.19793543591871e-223,0.523292438431916,0.879,0.51,"0","ARPC5"
"RAB10",2.10626547186123e-219,0.698641570355234,0.584,0.199,"0","RAB10"
"CASP1",1.44007730933387e-216,0.529361969883779,0.723,0.33,"0","CASP1"
"C5AR1",1.63676246125411e-215,0.80891888406104,0.297,0.032,"0","C5AR1"
"ARPC1B",2.33850966360529e-214,0.51200652327984,0.843,0.469,"0","ARPC1B"
