"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fcgbp1",6.46827877435477e-133,1.47257132402322,0.774,0.145,8.95921293035879e-129,"3","Fcgbp"
"Plb1",6.51475425048645e-116,1.22155322130247,0.685,0.124,9.02358611234878e-112,"3","Plb1"
"Plet11",1.29079464398162e-111,1.47331794863369,0.952,0.369,1.78787966137895e-107,"3","Plet1"
"Plscr2",2.36756149571042e-108,1.08844156277947,0.641,0.114,3.2793094277085e-104,"3","Plscr2"
"Muc15",3.03203327343141e-104,0.999773752833717,0.674,0.127,4.19966928702985e-100,"3","Muc15"
"Mgst13",1.356439095831e-100,1.14017287556719,1,0.708,1.87880379163552e-96,"3","Mgst1"
"Ogfrl1",1.94313510980432e-99,0.969512644320404,0.656,0.135,2.69143644058996e-95,"3","Ogfrl1"
"Gm266",6.57685069127013e-98,0.783986783824059,0.422,0.045,9.10959589247826e-94,"3","Gm266"
"Clu2",1.43748633084783e-96,1.42048226505091,0.974,0.489,1.99106231685733e-92,"3","Clu"
"Trf3",1.68407377743742e-95,0.709224714033245,0.993,0.367,2.33261058912857e-91,"3","Trf"
"Cd143",4.33851410779025e-92,1.1895062038644,0.778,0.205,6.00927589070027e-88,"3","Cd14"
"Cytip",7.38095998745236e-92,0.734115880088043,0.374,0.036,1.02233676786203e-87,"3","Cytip"
"Ehf",2.10371341222378e-82,0.858938419327693,0.533,0.099,2.91385344727116e-78,"3","Ehf"
"Lurap1l2",2.85892452342007e-82,1.05488856834689,0.756,0.247,3.95989635738914e-78,"3","Lurap1l"
"Phlda12",3.97978278477015e-79,1.29002074342778,0.922,0.513,5.51239713518513e-75,"3","Phlda1"
"Elf5",9.95231049232135e-79,0.709512297289355,0.622,0.132,1.37849452629143e-74,"3","Elf5"
"Mfge82",4.58723322962257e-78,0.930367791383936,0.985,0.644,6.35377674635022e-74,"3","Mfge8"
"Rhov",3.65054917669693e-77,0.93743098406735,0.626,0.157,5.05637566464292e-73,"3","Rhov"
"Itm2b2",7.18536724222305e-77,0.782201491473073,1,0.985,9.95245216720315e-73,"3","Itm2b"
"Ctsh1",1.31679371670324e-76,0.936524099919041,0.807,0.3,1.82389097700565e-72,"3","Ctsh"
"C3",9.03898587670703e-73,0.701233752302663,0.481,0.09,1.25198993378269e-68,"3","C3"
"Atp6v1c2",9.46274188024923e-71,0.616881690507562,0.367,0.05,1.31068437783332e-66,"3","Atp6v1c2"
"Trim46",4.68150390410549e-70,0.719010678530889,0.5,0.101,6.48435105757651e-66,"3","Trim46"
"Barx2",6.47025068699443e-67,0.681622459855004,0.411,0.069,8.96194422655599e-63,"3","Barx2"
"Efhd22",2.57016295419837e-65,1.01931540660249,0.789,0.358,3.55993270786017e-61,"3","Efhd2"
"Nfkbia2",2.8026959658724e-64,1.19869466329454,0.944,0.747,3.88201418232986e-60,"3","Nfkbia"
"Cd813",3.72683045703111e-64,0.672448912883987,0.993,0.819,5.1620328660338e-60,"3","Cd81"
"Csn1s1",4.02377137153394e-63,0.992728024343875,0.581,0.154,5.57332572671166e-59,"3","Csn1s1"
"Car2",8.19302941536797e-63,0.7747681261837,0.474,0.096,1.13481650432262e-58,"3","Car2"
"Dbi2",3.06138554895838e-60,0.854179002124859,0.922,0.65,4.24032512386225e-56,"3","Dbi"
"Plin23",3.5599977310619e-60,0.812356106938536,0.752,0.3,4.93095285729384e-56,"3","Plin2"
"Csf3",4.44656629996061e-60,1.19065331191255,0.278,0.032,6.15893898207544e-56,"3","Csf3"
"Csn33",6.83683386321625e-60,0.387075618027476,0.719,0.207,9.46969858394082e-56,"3","Csn3"
